feature,pearson_corr,spearman_corr,mi_score,mi_minus_pearson,missing_pct,category
S11,9.47854843857188e-05,0.0025076290696117894,0.02166222398167683,2.1661276126832973,11.190211345939934,S
S4,0.001252747648833891,0.001184680793267828,0.021424888229104155,2.1412360752615816,11.190211345939934,S
I6,0.005348041632248712,0.004318812305302907,0.02079469045469029,2.07412100383678,11.190211345939934,I
M2,0.027459711831481087,0.018612696449663332,0.019822244748507245,1.9547647630192435,35.78420467185762,M
M16,0.005671386213443837,0.01569478197205753,0.01877073852103539,1.8714024658900952,11.190211345939934,M
V2,0.001889572409141917,0.001997499163199448,0.018744816860148283,1.8725921136056864,11.190211345939934,V
P12,0.021479447841650526,0.00359625759446993,0.016275480340999238,1.6060685862582733,11.190211345939934,P
S10,0.0028031974383586804,0.002135331281871487,0.01597084564687634,1.5942813672492755,11.190211345939934,S
P4,0.0027195923809487346,0.006332978001020889,0.015510691394393206,1.548349547058372,11.190211345939934,P
M14,0.00423758776035191,0.005264534790986116,0.01483503110515727,1.479265522755375,61.62402669632926,M
M6,0.00890702960681831,0.01744404147914344,0.014220993636220758,1.4131923340152575,56.0956618464961,M
V4,0.0018678664282819606,0.0004191447989604286,0.01348278212389964,1.346410345961682,11.190211345939934,V
V11,0.006816293182226158,0.016245738798230047,0.013453976230003661,1.33858132981814,11.190211345939934,V
P3,0.010682709095021191,0.011447822969148402,0.013372680848100948,1.3265853757150736,11.190211345939934,P
E13,0.008759574063826442,0.012265162247042763,0.01219502180332821,1.2107426062689945,11.190211345939934,E
V3,0.0024041812301377917,0.0009650039162033968,0.011551434328727517,1.1527392516426138,11.190211345939934,V
S12,0.02057103206929652,0.027530887087986053,0.011028961899671508,1.0823251578978543,39.34371523915461,S
P13,0.004077299130112279,0.0033265300777778396,0.008145253693894183,0.8104480702593061,11.190211345939934,P
E7,0.01596315075118106,0.0006368070491750498,0.006197604391142253,0.6037972883630442,77.5194660734149,E
E14,0.0015032474841069343,0.00477487697870531,0.005795845617911688,0.5780813143070619,11.190211345939934,E
D6,0.01691560193668432,0.020395883090141734,0.003237414928361826,0.30682589089949824,0.0,D
D9,0.001079998192134911,0.00466770915162769,0.0028734058156305586,0.286260583370921,0.0,D
D4,0.016628805374216796,0.015432199801914182,0.0025575844681853255,0.23912964144431575,0.0,D
D7,0.010706466222193971,0.01593440846246898,0.0019344671305883132,0.18274024683663734,0.0,D
E4,0.006347822088541696,0.001654490052578587,0.0012707819873361004,0.12073037664506835,11.190211345939934,E
D3,0.005988167052816699,0.0055194061858194424,0.00026962493074211835,0.020974326021395137,0.0,D
D2,0.03418545560638726,0.030236277170687796,0.0,-0.03418545560638726,0.0,D
D8,0.02468685410358545,0.022620063282108818,0.0,-0.02468685410358545,0.0,D
S6,0.021366123273019826,0.02047775479624459,0.0,-0.021366123273019826,11.190211345939934,S
D5,0.01660185582027267,0.016060769043276385,0.0,-0.01660185582027267,0.0,D
D1,0.03418545560638726,0.030236277170687796,0.0,-0.03418545560638726,0.0,D
