feature,mi_score,type
S_mean,0.02866214547433188,category_stat
E11,0.02866002655997324,original
E5,0.02858188557194019,original
V1_squared,0.02831030028748449,nonlinear
S_skew_proxy,0.028203912455664337,category_stat
M15,0.028016444012372688,original
V_range,0.027911947093510747,category_stat
I2_squared,0.027558659414490982,nonlinear
I8,0.02651632186840569,original
P5/V9,0.026249872512815298,interaction
I_mean,0.02617519778590527,category_stat
S1,0.026035307059085966,original
M13,0.025753212978161244,original
E_median,0.025741020777187984,category_stat
M_max,0.0255387353896932,category_stat
P8_to_V7,0.0254926958889512,ratio
S2_to_E19,0.02513052808034022,ratio
M3,0.024816095816896144,original
I7,0.024786611128114977,original
M16,0.02434009611806376,original
P1,0.02427130957470247,original
S_to_E_mean,0.024172969915178477,ratio
M7,0.023895809094569564,original
M12,0.023871889703678484,original
E2/E3,0.023812755102645244,interaction
S4,0.023347858210930106,original
V2,0.022801958304265568,original
I6,0.022423069443989974,original
E_mean,0.022011400968902528,category_stat
M9,0.021904905046274514,original
S3,0.02186703210726826,original
P_median,0.021773071423751844,category_stat
P_skew_proxy,0.02173753229776132,category_stat
M_median,0.021261180083989473,category_stat
M2,0.020802391525006847,original
S9,0.02047842371253683,original
P7,0.0203109104135768,original
E12_squared,0.020258043909752388,nonlinear
E19/S8,0.020150902584164854,interaction
V11,0.020106721944772143,original
E13,0.020056430565855266,original
S11,0.019984258256440235,original
V13/V9,0.01970125845427173,interaction
S_median,0.019439410960276682,category_stat
I_skew_proxy,0.019112910534764715,category_stat
I_max,0.018279245194062987,category_stat
E20/P2,0.01753824369935142,interaction
S_range,0.017258532989733233,category_stat
P12,0.017012737946966006,original
P4,0.01691318191386415,original
S10,0.016241255370143648,original
M14,0.015891230417475644,original
M4_to_V13,0.01584951805727286,ratio
M_mean,0.014999872414025006,category_stat
M6,0.014782290313393176,original
E_skew_proxy,0.014474606315656224,category_stat
S_max,0.013993928120337173,category_stat
P3,0.013956878510319903,original
V3,0.01394514080695508,original
V7/S8,0.011729244255652471,interaction
E14,0.010539122020150948,original
