k_base,vol_scale,conf_mult,long_ratio,short_ratio,mean_sharpe,std_sharpe,min_sharpe,max_sharpe
200,0.5,0.0,0.8,1.2,0.5708384471798514,0.3048372529807502,0.16005547290167169,0.948754310310285
350,0.3,0.0,1.0,1.0,0.5706857109977175,0.33474601124083037,0.030568624101323445,0.9964186718614636
200,0.5,1.0,1.0,1.0,0.5701303300702569,0.3128351347722586,0.15309665569040357,0.9750456144939892
200,0.5,0.5,1.0,1.0,0.5700209916672635,0.31259483313331626,0.15354977527859537,0.9742825273198107
250,0.5,0.0,0.8,0.8,0.5699007153939839,0.31236651581592895,0.1539741775253913,0.9735173846069208
200,0.5,0.0,1.0,1.0,0.5699007153939838,0.3123665158159289,0.15397417752539128,0.9735173846069208
250,1.0,1.0,1.2,1.0,0.5691977385106533,0.31562225721637727,0.15533471260777756,0.9705563578698546
250,1.0,0.5,1.2,1.0,0.5690203903830493,0.31552684740539594,0.1553918876814627,0.9700219274799792
300,1.0,1.0,0.8,1.0,0.5689479425384283,0.30829537464667633,0.15839113747325376,0.9426040452836572
350,1.5,0.0,1.0,1.0,0.5689306659305652,0.31218717242218175,0.1564150269113569,0.9486810008564744
300,1.0,0.5,0.8,1.0,0.5687378891988414,0.30812904561856186,0.15867912951768964,0.9419679213148112
200,0.5,0.0,1.2,0.8,0.5675930109252658,0.3148848099458993,0.15031816083816688,0.9819356636799876
150,0.3,0.0,1.0,1.0,0.5667120867444464,0.30395529437967617,0.16972804069147915,0.960301034699202
200,0.5,1.0,0.8,1.0,0.5660364171745031,0.30384702571371947,0.16888067590627318,0.9475897419258302
200,0.5,0.5,0.8,1.0,0.5659283223202052,0.3036452043642705,0.16916221109934784,0.9469128223403228
200,0.5,0.0,0.8,1.0,0.5658195879619734,0.30345057601255543,0.16941363643759716,0.9462342571553244
200,0.5,0.0,1.0,0.8,0.5656540852116706,0.30887778193985194,0.1669406235127799,0.96538936300993
250,1.0,1.0,1.0,1.0,0.5642054538680774,0.3087132980252316,0.1662505220612477,0.9479060716503853
