number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
65,0.8745359439907708,2025-10-18 20:23:10.127890,2025-10-18 20:23:10.936990,0 days 00:00:00.809100,0.6,0.02278471777283107,6,2,150,0.0,0.5,1.0,COMPLETE
66,0.8540740936686347,2025-10-18 20:23:10.937531,2025-10-18 20:23:12.421136,0 days 00:00:01.483605,0.6,0.022970181972314537,7,2,150,0.1,0.5,1.0,COMPLETE
67,0.8851377206802189,2025-10-18 20:23:12.421694,2025-10-18 20:23:13.146739,0 days 00:00:00.725045,0.6,0.0254553231357834,6,1,100,0.0,0.6000000000000001,1.0,COMPLETE
68,0.47411320065699586,2025-10-18 20:23:13.147175,2025-10-18 20:23:13.424591,0 days 00:00:00.277416,0.6,0.016130142876896403,5,1,100,0.9,0.6000000000000001,1.0,COMPLETE
69,0.7076876074176215,2025-10-18 20:23:13.424985,2025-10-18 20:23:13.952003,0 days 00:00:00.527018,0.6,0.012890897447592876,6,2,100,0.0,0.5,1.0,COMPLETE
70,0.7765093006875509,2025-10-18 20:23:13.952438,2025-10-18 20:23:14.395042,0 days 00:00:00.442604,0.6,0.02159021286651612,5,2,100,0.0,0.6000000000000001,0.9,COMPLETE
71,0.9106337971452474,2025-10-18 20:23:14.395456,2025-10-18 20:23:15.176550,0 days 00:00:00.781094,0.6,0.02534479254072938,6,1,150,0.0,0.5,1.0,COMPLETE
72,0.9378183882851285,2025-10-18 20:23:15.176984,2025-10-18 20:23:16.067253,0 days 00:00:00.890269,0.6,0.024975919006789585,6,1,150,0.0,0.4,1.0,COMPLETE
73,0.9104960079867185,2025-10-18 20:23:16.067744,2025-10-18 20:23:16.867259,0 days 00:00:00.799515,0.6,0.03047978595260266,6,1,150,0.0,0.4,1.0,COMPLETE
74,0.878772321332093,2025-10-18 20:23:16.867691,2025-10-18 20:23:17.702032,0 days 00:00:00.834341,0.6,0.029992908774987025,6,1,150,0.1,0.4,1.0,COMPLETE
75,0.8629812215309608,2025-10-18 20:23:17.702462,2025-10-18 20:23:18.248950,0 days 00:00:00.546488,0.6,0.02614717790732649,6,1,100,0.0,0.30000000000000004,1.0,COMPLETE
76,0.8631421158480537,2025-10-18 20:23:18.249441,2025-10-18 20:23:19.319544,0 days 00:00:01.070103,0.6,0.025323954191866976,6,1,200,0.0,0.4,1.0,COMPLETE
77,0.8040797257746677,2025-10-18 20:23:19.320011,2025-10-18 20:23:20.130205,0 days 00:00:00.810194,0.6,0.030038256185035712,7,9,150,0.2,0.4,1.0,COMPLETE
78,0.824163810599405,2025-10-18 20:23:20.130658,2025-10-18 20:23:20.720603,0 days 00:00:00.589945,0.6,0.024455077743765985,6,1,100,0.1,0.6000000000000001,0.9,COMPLETE
79,0.9407153558420628,2025-10-18 20:23:20.721043,2025-10-18 20:23:21.732206,0 days 00:00:01.011163,0.6,0.0374599792967183,7,2,150,0.0,0.5,1.0,COMPLETE
80,0.8264355552354403,2025-10-18 20:23:21.732642,2025-10-18 20:23:22.748623,0 days 00:00:01.015981,0.6,0.03728153266704387,7,2,150,0.1,0.4,1.0,COMPLETE
81,0.9050435565772107,2025-10-18 20:23:22.749090,2025-10-18 20:23:23.556500,0 days 00:00:00.807410,0.6,0.031652352763772214,6,2,150,0.0,0.5,1.0,COMPLETE
82,0.8467213695737241,2025-10-18 20:23:23.556947,2025-10-18 20:23:24.829296,0 days 00:00:01.272349,0.6,0.03207851592779036,7,2,200,0.0,0.5,1.0,COMPLETE
83,0.7629842246745833,2025-10-18 20:23:24.829766,2025-10-18 20:23:25.548145,0 days 00:00:00.718379,0.6,0.028569231700569644,5,2,150,0.0,0.5,1.0,COMPLETE
84,0.8655590872157691,2025-10-18 20:23:25.548664,2025-10-18 20:23:26.319633,0 days 00:00:00.770969,0.6,0.037088537855576954,6,2,150,0.1,0.30000000000000004,1.0,COMPLETE
85,0.8360472248361391,2025-10-18 20:23:26.320086,2025-10-18 20:23:27.395285,0 days 00:00:01.075199,0.7,0.03151807275112527,6,1,200,0.0,0.4,1.0,COMPLETE
86,0.8647670516095385,2025-10-18 20:23:27.395761,2025-10-18 20:23:28.341974,0 days 00:00:00.946213,0.6,0.029139612464669718,5,6,150,0.0,0.5,0.9,COMPLETE
87,0.8671691923296141,2025-10-18 20:23:28.342576,2025-10-18 20:23:29.926368,0 days 00:00:01.583792,0.6,0.023470039226821737,7,3,200,0.1,0.5,1.0,COMPLETE
88,0.8342354889023618,2025-10-18 20:23:29.926802,2025-10-18 20:23:30.694901,0 days 00:00:00.768099,0.6,0.018638317636194994,6,2,150,0.0,0.4,1.0,COMPLETE
89,0.7796941225577608,2025-10-18 20:23:30.695336,2025-10-18 20:23:31.778085,0 days 00:00:01.082749,0.7,0.02173822073890609,8,7,150,0.1,0.6000000000000001,0.9,COMPLETE
90,0.8245612464120976,2025-10-18 20:23:31.778559,2025-10-18 20:23:32.653225,0 days 00:00:00.874666,0.6,0.04106726428907485,6,1,200,0.2,0.4,1.0,COMPLETE
91,0.8223397683978498,2025-10-18 20:23:32.653686,2025-10-18 20:23:33.228696,0 days 00:00:00.575010,0.6,0.026514211964763695,6,1,100,0.0,0.6000000000000001,1.0,COMPLETE
92,0.8677848337774613,2025-10-18 20:23:33.229112,2025-10-18 20:23:33.743036,0 days 00:00:00.513924,0.6,0.02478228708246398,6,1,100,0.0,0.6000000000000001,1.0,COMPLETE
93,0.9340722783073908,2025-10-18 20:23:33.743460,2025-10-18 20:23:34.509318,0 days 00:00:00.765858,0.6,0.03616154057286265,6,1,150,0.0,0.5,1.0,COMPLETE
94,0.846880710334806,2025-10-18 20:23:34.509757,2025-10-18 20:23:35.300266,0 days 00:00:00.790509,0.6,0.031560809596328315,6,1,150,0.0,0.5,1.0,COMPLETE
95,0.5681570339255537,2025-10-18 20:23:35.300683,2025-10-18 20:23:35.712865,0 days 00:00:00.412182,0.6,0.03552226715593953,6,2,150,0.5,0.5,1.0,COMPLETE
96,0.8867580027996752,2025-10-18 20:23:35.713273,2025-10-18 20:23:36.581948,0 days 00:00:00.868675,0.6,0.03885123164167135,7,1,150,0.1,0.4,1.0,COMPLETE
97,0.8071522422083479,2025-10-18 20:23:36.582382,2025-10-18 20:23:37.432862,0 days 00:00:00.850480,0.6,0.028177628049714794,6,2,150,0.0,0.5,1.0,COMPLETE
98,0.8814010898263761,2025-10-18 20:23:37.433398,2025-10-18 20:23:38.467389,0 days 00:00:01.033991,0.6,0.03555725763657784,6,1,200,0.1,0.5,1.0,COMPLETE
99,0.8110072402515897,2025-10-18 20:23:38.467826,2025-10-18 20:23:39.226812,0 days 00:00:00.758986,0.7,0.02082677495413555,6,3,150,0.0,0.4,1.0,COMPLETE
100,0.8195845037286856,2025-10-18 20:23:39.227270,2025-10-18 20:23:40.126334,0 days 00:00:00.899064,0.6,0.0432286351397209,5,1,200,0.0,0.5,0.9,COMPLETE
101,0.8769490020685039,2025-10-18 20:23:40.126772,2025-10-18 20:23:41.202456,0 days 00:00:01.075684,0.6,0.03831621233265146,7,1,150,0.1,0.30000000000000004,1.0,COMPLETE
102,0.977540610541686,2025-10-18 20:23:41.202936,2025-10-18 20:23:42.182648,0 days 00:00:00.979712,0.6,0.03037613036469957,7,1,150,0.0,0.4,1.0,COMPLETE
103,0.8811644018374212,2025-10-18 20:23:42.183112,2025-10-18 20:23:43.216686,0 days 00:00:01.033574,0.6,0.030218525441900766,7,2,150,0.0,0.4,1.0,COMPLETE
104,0.8776929570055353,2025-10-18 20:23:43.217154,2025-10-18 20:23:44.255450,0 days 00:00:01.038296,0.6,0.026649907439599985,7,1,150,0.0,0.30000000000000004,1.0,COMPLETE
105,0.5024186473554418,2025-10-18 20:23:44.255897,2025-10-18 20:23:44.706134,0 days 00:00:00.450237,0.6,0.03242521998670446,6,1,250,0.7000000000000001,0.4,1.0,COMPLETE
106,0.7751530076138816,2025-10-18 20:23:44.706549,2025-10-18 20:23:45.696179,0 days 00:00:00.989630,0.6,0.033961647841018516,7,8,150,0.0,0.5,1.0,COMPLETE
107,0.8309103800037673,2025-10-18 20:23:45.696619,2025-10-18 20:23:46.200483,0 days 00:00:00.503864,0.6,0.028421291905511452,6,1,100,0.0,0.6000000000000001,1.0,COMPLETE
108,0.8533547262930927,2025-10-18 20:23:46.200893,2025-10-18 20:23:47.193653,0 days 00:00:00.992760,0.6,0.02225839036994045,6,2,200,0.1,0.5,1.0,COMPLETE
109,0.46144859107551356,2025-10-18 20:23:47.194105,2025-10-18 20:23:47.519968,0 days 00:00:00.325863,0.6,0.016505898281458778,6,1,150,1.0,0.4,1.0,COMPLETE
110,0.7690993789175273,2025-10-18 20:23:47.520409,2025-10-18 20:23:48.233336,0 days 00:00:00.712927,0.6,0.023667771577826128,8,2,100,0.0,0.6000000000000001,1.0,COMPLETE
111,0.8740903034897,2025-10-18 20:23:48.233772,2025-10-18 20:23:49.207300,0 days 00:00:00.973528,0.6,0.03531198837175552,7,1,150,0.1,0.4,1.0,COMPLETE
112,0.8367044733049446,2025-10-18 20:23:49.207875,2025-10-18 20:23:50.241214,0 days 00:00:01.033339,0.6,0.04033406794771857,7,1,150,0.0,0.4,1.0,COMPLETE
113,0.9530315373075918,2025-10-18 20:23:50.241661,2025-10-18 20:23:51.230972,0 days 00:00:00.989311,0.6,0.03094962399891535,7,1,150,0.0,0.5,1.0,COMPLETE
114,0.7882973103251455,2025-10-18 20:23:51.231444,2025-10-18 20:23:51.978946,0 days 00:00:00.747502,0.6,0.0309796465355289,6,5,150,0.0,0.5,1.0,COMPLETE
115,0.8969284255370985,2025-10-18 20:23:51.979360,2025-10-18 20:23:52.961413,0 days 00:00:00.982053,0.6,0.047280611806277774,7,1,150,0.0,0.5,1.0,COMPLETE
116,0.8069230430379865,2025-10-18 20:23:52.961852,2025-10-18 20:23:53.926546,0 days 00:00:00.964694,0.6,0.045165449473149134,7,1,150,0.0,0.5,1.0,COMPLETE
117,0.9406689397747338,2025-10-18 20:23:53.927018,2025-10-18 20:23:55.178728,0 days 00:00:01.251710,0.6,0.05508733209314382,7,1,200,0.0,0.6000000000000001,1.0,COMPLETE
118,0.7321119240199967,2025-10-18 20:23:55.179175,2025-10-18 20:23:57.128203,0 days 00:00:01.949028,0.6,0.08038702744583356,8,1,250,0.0,0.7000000000000001,1.0,COMPLETE
119,0.8677496386290269,2025-10-18 20:23:57.128813,2025-10-18 20:23:58.138097,0 days 00:00:01.009284,0.6,0.05990105551280459,7,1,200,0.1,0.6000000000000001,1.0,COMPLETE
120,0.9198424726882459,2025-10-18 20:23:58.138570,2025-10-18 20:23:59.369766,0 days 00:00:01.231196,0.6,0.026340928891206452,7,1,200,0.0,0.6000000000000001,1.0,COMPLETE
121,0.7793590590240592,2025-10-18 20:23:59.370215,2025-10-18 20:24:00.648043,0 days 00:00:01.277828,0.6,0.054744567379659444,7,1,200,0.0,0.6000000000000001,1.0,COMPLETE
