feature,shap_importance,perm_importance_mean,xgb_gain,shap_importance_norm,perm_importance_mean_norm,xgb_gain_norm,avg_rank
M1_ema_5,8.559657e-07,8.112571795837464e-05,0.002003359142690897,0.00915161,0.0049050330376103355,0.35377875235986483,0.1226117983373222
I2_rolling_std_10,4.728792e-06,0.000910031634968278,0.001482378225773573,0.05055817,0.05502244352500253,0.26177728599136196,0.1224526326524739
E2,9.679792e-06,0.0011516240977683333,0.0010923161171376705,0.10349208,0.06962963642873679,0.19289513540965805,0.12200561766790285
I2_rolling_std_20,2.1452863e-06,0.0001791390123657366,0.0018808550667017698,0.02293646,0.010831124778823822,0.33214541750797283,0.1219710006391748
D2_rolling_std_20,5.3729906e-07,2.9398400046420915e-05,0.002026182599365711,0.0057445653,0.0017774896433529063,0.35780920993229476,0.12177708828464645
S5_rolling_std_60,1.4772248e-06,0.0002867400892925476,0.0018802023259922862,0.01579384,0.017336914194200893,0.33203014821406807,0.12172030062594034
S2_return_5d,3.2680798e-06,0.0004839412455765801,0.0017039964441210032,0.034940872,0.029260114517980412,0.3009134623845066,0.12170481641462716
M4_rolling_std_5,4.7358503e-06,0.0006372902363296684,0.0015611924463883042,0.05063363,0.038531919869694425,0.27569530799905995,0.12162028650512917
D8_lag1,2.192999e-07,4.8277223071657716e-05,0.00203209207393229,0.0023446581,0.002918943339916783,0.3588527804507883,0.12137212730778252
M17_rolling_mean_5,1.7273499e-06,0.00018110553223513737,0.0018908324418589473,0.018468065,0.010950024742624171,0.3339073498843072,0.1211084799380888
V5,4.1000394e-06,0.0009545800748640198,0.001474797842092812,0.04383582,0.05771593672249546,0.26043864499392877,0.12066346682799062
P8_rolling_mean_20,9.3809246e-07,3.8792571183365875e-05,0.001978547777980566,0.010029673,0.002345481162532106,0.34939724458898347,0.12059079946551599
E12_rolling_std_60,1.4411673e-06,0.0001824622652644159,0.0018888924969360232,0.015408328,0.011032055700245316,0.3335647696250547,0.12000171770943857
V13_lag5,6.2491204e-06,0.0008464266513974694,0.0013654239010065794,0.06681285,0.05117675126337525,0.241123997113971,0.11970453297075406
E19_ema_5,5.906006e-06,0.0009354271361359135,0.0013556535122916102,0.06314442,0.05655790940892652,0.23939861704806337,0.11970031650818654
S2,1.1682984e-05,0.0005656163289140537,0.0011281390907242894,0.124909334,0.034198363352036236,0.19922121376037835,0.11944297033237687
M1_rolling_mean_20,3.2948662e-06,0.00025050349980692,0.0017385534010827541,0.03522726,0.015145973108310899,0.3070159713449622,0.11912973531231413
E19_rolling_std_10,4.78695e-06,0.0005422429357942238,0.00154325389303267,0.051179964,0.032785158411124095,0.2725274890643217,0.11883087052359997
M2_ema_60,2.2837223e-06,0.0002013929888278865,0.0018078912980854511,0.024416557,0.012176647413471641,0.3192605430596085,0.11861791568497831
M1_rolling_std_10,9.48453e-07,5.3859942944656236e-05,0.001937921391800046,0.010140443,0.0032564864286674044,0.34222291827396784,0.11853994930778994
M17_rolling_std_10,1.6915828e-06,0.0002533800196088287,0.0018117292784154415,0.01808566,0.015319893598838232,0.31993830266036677,0.11778128555737087
E19_rolling_mean_60,2.1395279e-06,0.00011364504593289749,0.0018315360648557544,0.022874892,0.0068712206053772405,0.32343603806176874,0.11772738347503703
S12_lag60,3.3452761e-06,0.0005858698434001109,0.0015955144772306085,0.03576622,0.03542293381109588,0.2817563307039243,0.11764849536596993
E12_return_5d,5.7848865e-07,8.180352712913174e-05,0.0019325381144881248,0.0061849463,0.004946014818227238,0.34127227038940505,0.1174677438292017
M12_lag5,3.547354e-06,0.0002832138002546225,0.0016799926524981856,0.037926752,0.017123707277005278,0.296674566186983,0.11724167519474825
S2_return_60d,6.304461e-06,0.0008081138305268242,0.0013325297040864825,0.06740452,0.048860276822668476,0.2353151195651155,0.11719330662654781
S12_return_20d,3.0157078e-06,0.0005536749253945983,0.0016183104598894715,0.032242622,0.03347636075837761,0.2857819365636092,0.11716697318282115
S2_return_20d,2.4937347e-06,0.0005406496575347197,0.001648459816351533,0.026661916,0.032688825426989726,0.29110609511626595,0.11681894541595454
E11_vol_norm_20,6.6330836e-06,0.000944557616151942,0.0012555579887703061,0.070918016,0.057109957603444075,0.22172247068290898,0.1165834814740152
M4_lag20,7.477008e-06,0.0007150630720602735,0.0012804261641576886,0.079940885,0.04323423053377995,0.22611401080895813,0.11642970888271424
P8_lag20,1.7458376e-06,0.0004504166701723711,0.0017171322833746672,0.01866573,0.027233147557714155,0.3032331567035786,0.11637734445062138
E11_rolling_mean_5,5.5159376e-07,7.98833369343055e-05,0.0019113136222586036,0.005897398,0.004829916044852427,0.33752417838711635,0.11608383084624087
V10,1.8032777e-06,2.6537887024891127e-05,0.0018536279676482081,0.019279853,0.0016045369567299368,0.3273373085033091,0.1160738993231792
D2_vol_norm_60,5.150642e-07,4.285946931283924e-05,0.0019250912591814995,0.00550684,0.002591374452449095,0.339957209538237,0.11601847468651101
M2_trend,1.6610613e-06,0.00027628135802985063,0.0017701167380437255,0.017759338,0.0167045571110705,0.31258982863915047,0.11568457459049979
I2_vol_5,1.4605334e-06,0.0002828163755156154,0.001773026422597468,0.015615382,0.017099678134042336,0.31310365791181954,0.1152729060925446
M17_vol_60,2.2945311e-07,2.645007853550041e-05,0.0019336976110935211,0.0024532117,0.0015992278691522451,0.34147702911373023,0.11517648955927944
E12_lag40,9.133391e-06,0.0005895978448519634,0.0012013550149276853,0.09765021,0.03564833668882423,0.212150617063852,0.11514972044393738
S2_vol_norm_60,2.670161e-06,0.0004949326715269709,0.001617096015252173,0.028548187,0.02992467945218262,0.2855674744137939,0.11468011350362943
M12_rolling_std_60,2.5870743e-06,0.00022037314520325645,0.001711927354335785,0.027659861,0.013324227939390296,0.302314003835649,0.11443269771532015
P8_ema_5,7.676405e-07,0.0001717551775760495,0.0018310326850041747,0.008207275,0.010384682460664556,0.323347144816389,0.11397970062597233
E17,9.13101e-06,0.0012983398134254974,0.0009336363873444498,0.09762475,0.07850037989388901,0.16487344142839686,0.11366619008917404
M1_return_60d,3.8176827e-07,6.29310291732188e-05,0.0018814606592059135,0.0040816986,0.0038049435487750036,0.33225236076941256,0.11337966763946346
S2_lag1,5.2659684e-06,0.00030596789683057235,0.001498335157521069,0.056301422,0.018499468234871648,0.2645951648653107,0.11313201850578207
