feature,importance
V13_lag1_DIV_M2_rolling_mean_10,0.0014246649
V13_vol_norm_20_X_D8_trend,0.0014237401
E19_vol_norm_20_DIV_P10,0.0014237
V10_lag40_SUB_M4_vol_norm_5,0.0014231763
V13_lag1_SUB_P7,0.0014220043
P8_trend_X_V10_lag40,0.0014206159
V13_lag1_ADD_E19_lag5,0.0014201722
D8_trend_X_V10_lag40,0.001414873
E19_vol_regime_60_DIV_M4_vol_norm_5,0.0014146755
E19_vol_regime_60_DIV_P7,0.0014130631
M4_DIV_V7_vol_norm_60,0.0014127048
P8_trend_SUB_P7,0.0014115828
V7_vol_norm_60_X_E19_vol_norm_20,0.0014088905
M4_vol_norm_20_X_I2_trend,0.0014080844
M4_vol_norm_20_X_P7,0.0014066962
E12_rolling_mean_5_SUB_E19_vol_norm_20,0.0014031625
D8_trend_DIV_E12_rolling_mean_5,0.0013949282
V13_SUB_P10,0.0013945178
S2_ema_60_SUB_E12_rolling_mean_5,0.0013935388
E12_rolling_mean_5_ADD_E19_vol_norm_20,0.0013881392
V10_lag40_X_V13,0.0013864869
M4_vol_norm_20_ADD_I2_trend,0.0013857505
P7_DIV_M4_vol_norm_5,0.0013817778
I2_trend_DIV_S2_ema_60,0.001381077
S2_ema_60_ADD_P7,0.0013792547
V13_vol_norm_20_DIV_P7,0.0013779465
D8_trend_ADD_S2_ema_60,0.0013763134
V7_vol_norm_60_ADD_V13_lag1,0.001375292
I2_trend_SUB_V7_vol_norm_60,0.0013698625
I2_trend_X_E19_vol_norm_20,0.0013694527
S2_ema_60_ADD_E19_lag5,0.0013681572
E19_vol_regime_60_SUB_E12_rolling_mean_5,0.0013675127
M4_DIV_E19_vol_norm_20,0.0013662181
E12_rolling_mean_5_DIV_V10_lag40,0.0013646056
E19_vol_norm_20_X_P10,0.0013626086
D8_trend_DIV_V13_lag1,0.0013624246
M4_vol_norm_5_ADD_P10,0.001360391
P8_trend_SUB_E19_vol_regime_60,0.001359786
D8_trend_SUB_P10,0.0013583067
D8_trend_DIV_M4_vol_norm_5,0.0013554344
E19_rolling_std_5_SUB_M2_rolling_mean_10,0.0013550121
E19_rolling_std_5_DIV_D8_trend,0.0013532334
M4_ADD_E19_lag5,0.0013529351
D8_trend_X_E19_vol_regime_60,0.0013475756
P8_trend_DIV_P10,0.0013470966
M2_rolling_mean_10_X_E19_lag5,0.0013453616
D8_trend_ADD_E19_vol_norm_20,0.0013443342
V13_lag1_ADD_M2_rolling_mean_10,0.0013439142
I2_trend_SUB_S2_ema_60,0.001343103
V13_lag1_ADD_E19_vol_norm_20,0.0013428172
I2_trend_SUB_E19_rolling_std_5,0.0013381394
E19_vol_regime_60_SUB_M4_vol_norm_5,0.0013381325
E19_vol_regime_60_SUB_P7,0.001338124
E19_rolling_std_5_SUB_D8_trend,0.0013380474
M2_rolling_mean_10_X_E12_rolling_mean_5,0.0013367826
D8_trend_X_P10,0.001335972
M4_vol_norm_20_ADD_V13,0.0013358201
E12_rolling_mean_5_SUB_M4_vol_norm_5,0.0013308686
V13_vol_norm_20_X_P10,0.001328841
E19_vol_norm_20_ADD_P10,0.0013284277
V13_lag1_DIV_M4_vol_norm_5,0.0013273659
D8_trend_DIV_V13,0.0013266634
D8_trend_X_P7,0.0013264786
M4_vol_norm_20_ADD_V13_lag1,0.0013261115
E19_vol_regime_60_DIV_E19_vol_norm_20,0.0013225193
E12_rolling_mean_5_DIV_P7,0.0013217368
V13_vol_norm_20_SUB_V13_lag1,0.0013208466
E19_rolling_std_5_X_E19_vol_norm_20,0.0013207025
E19_rolling_std_5_SUB_P10,0.0013200251
E19_rolling_std_5_X_D8_trend,0.001318063
V13_vol_norm_20_DIV_E19_vol_regime_60,0.0013119315
E19_rolling_std_5_SUB_V13,0.0013093704
V7_vol_norm_60_X_S2_ema_60,0.0013077685
V13_lag1_SUB_E19_lag5,0.001306259
D8_trend_ADD_V10_lag40,0.0013061289
M4_vol_norm_20_X_E12_rolling_mean_5,0.001305212
V13_lag1_X_V13,0.0013044256
M4_ADD_P8_trend,0.0013028119
E19_vol_norm_20_SUB_V13,0.0013008845
E19_rolling_std_5_DIV_V13,0.0012988931
S2_ema_60_X_P7,0.0012984409
V13_vol_norm_20_ADD_M2_rolling_mean_10,0.0012968519
M4_SUB_M4_vol_norm_5,0.001296803
M4_vol_norm_20_SUB_M4_vol_norm_5,0.0012964269
M4_vol_norm_20_SUB_E12_rolling_mean_5,0.0012951316
E19_lag5_ADD_V10_lag40,0.0012876447
P8_trend_X_P7,0.0012868998
D8_trend_SUB_M2_rolling_mean_10,0.0012866621
V13_vol_norm_20_X_V13_lag1,0.0012846355
I2_trend_SUB_P10,0.0012822987
M4_vol_norm_20_DIV_P7,0.0012815996
I2_trend_SUB_E12_rolling_mean_5,0.0012781123
E19_vol_norm_20_SUB_V10_lag40,0.0012771438
I2_trend_DIV_P10,0.0012760811
M4_DIV_M4_vol_norm_5,0.0012760314
S2_ema_60_DIV_P7,0.0012758113
I2_trend_ADD_E19_vol_regime_60,0.0012713253
V7_vol_norm_60_DIV_D8_trend,0.0012702695
D8_trend_DIV_V10_lag40,0.0012685822
I2_trend_DIV_V13_lag1,0.0012662252
D8_trend_DIV_E19_lag5,0.0012658194
M2_rolling_mean_10_SUB_E19_lag5,0.0012651038
S2_ema_60_SUB_E19_vol_regime_60,0.0012642479
I2_trend_ADD_S2_ema_60,0.001261405
S2_ema_60_X_M4_vol_norm_5,0.0012595664
P7_DIV_P10,0.0012584288
V7_vol_norm_60_X_E19_vol_regime_60,0.0012518639
E19_vol_norm_20_ADD_P7,0.0012475321
E19_rolling_std_5_DIV_P8_trend,0.0012449715
E19_vol_norm_20_DIV_V13,0.0012430259
E19_lag5_ADD_M4_vol_norm_5,0.0012419744
V7_vol_norm_60_DIV_E19_vol_regime_60,0.001239445
M2_rolling_mean_10_SUB_E12_rolling_mean_5,0.0012393845
I2_trend_ADD_D8_trend,0.0012385757
P8_trend_SUB_V13_lag1,0.0012359421
S2_ema_60_SUB_E19_lag5,0.0012332038
E19_rolling_std_5_DIV_S2_ema_60,0.0012320006
M4_vol_norm_20_X_V13_lag1,0.001231508
P8_trend_SUB_P10,0.0012306033
M4_DIV_P10,0.0012290636
M4_ADD_V7_vol_norm_60,0.0012289518
M4_DIV_M4_vol_norm_20,0.0012243638
S2_ema_60_X_E12_rolling_mean_5,0.0012237641
M4_X_E19_lag5,0.0012190351
E12_rolling_mean_5_DIV_E19_vol_norm_20,0.001218848
S2_ema_60_DIV_V13,0.00121859
E19_vol_norm_20_SUB_M4_vol_norm_5,0.0012161137
M4_vol_norm_5_SUB_P10,0.0012148656
V7_vol_norm_60_X_E19_lag5,0.00121408
I2_trend_X_S2_ema_60,0.0012140459
M4_vol_norm_20_SUB_M2_rolling_mean_10,0.0012112978
E19_rolling_std_5_ADD_E19_vol_norm_20,0.0012107588
E19_rolling_std_5_X_V10_lag40,0.0012107512
P8_trend_DIV_P7,0.0012102623
I2_trend_X_P10,0.001209152
D8_trend_X_E12_rolling_mean_5,0.0012087434
M4_vol_norm_20_DIV_V7_vol_norm_60,0.001208323
V13_vol_norm_20_DIV_D8_trend,0.0012069176
V13_lag1_X_P7,0.0012047547
M4_vol_norm_20_DIV_M2_rolling_mean_10,0.0012045201
E19_lag5_X_P10,0.0012041088
V7_vol_norm_60_ADD_E19_vol_norm_20,0.0012033413
P8_trend_SUB_E19_vol_norm_20,0.001202426
E19_rolling_std_5_DIV_E19_vol_regime_60,0.00119919
E19_rolling_std_5_X_P8_trend,0.0011953603
P8_trend_SUB_S2_ema_60,0.0011948671
V7_vol_norm_60_DIV_V10_lag40,0.0011935584
M4_vol_norm_20_DIV_P8_trend,0.0011935547
I2_trend_DIV_M2_rolling_mean_10,0.0011899602
M4_vol_norm_20_DIV_V10_lag40,0.0011896936
V7_vol_norm_60_SUB_E12_rolling_mean_5,0.0011875092
M4_vol_norm_20_ADD_E19_vol_norm_20,0.0011870371
M2_rolling_mean_10_DIV_M4_vol_norm_5,0.0011864165
I2_trend_ADD_V13,0.0011826507
V13_lag1_ADD_P7,0.0011807989
M2_rolling_mean_10_SUB_E19_vol_norm_20,0.0011774901
E19_rolling_std_5_ADD_P8_trend,0.0011771078
P8_trend_DIV_M2_rolling_mean_10,0.0011752361
S2_ema_60_DIV_E19_lag5,0.0011739187
E19_lag5_ADD_V13,0.0011723653
P8_trend_SUB_M2_rolling_mean_10,0.0011718841
D8_trend_DIV_P7,0.0011712305
E19_lag5_SUB_E19_vol_norm_20,0.0011711352
V13_vol_norm_20_SUB_S2_ema_60,0.0011709634
D8_trend_X_V13,0.001170507
P8_trend_X_M2_rolling_mean_10,0.0011700662
V13_vol_norm_20_X_E12_rolling_mean_5,0.0011683994
M4_ADD_V13_lag1,0.0011680976
V13_vol_norm_20_ADD_M4_vol_norm_5,0.0011680963
M4_ADD_V10_lag40,0.0011675277
V7_vol_norm_60_X_V13,0.0011650656
E19_rolling_std_5_DIV_E12_rolling_mean_5,0.0011639684
P8_trend_ADD_S2_ema_60,0.0011630604
E19_vol_regime_60_ADD_M2_rolling_mean_10,0.0011621553
D8_trend_SUB_P7,0.0011617682
D8_trend_ADD_E19_vol_regime_60,0.0011611454
M4_vol_norm_20_ADD_S2_ema_60,0.0011587514
V7_vol_norm_60_SUB_V13,0.0011579747
V7_vol_norm_60_SUB_D8_trend,0.0011550463
V7_vol_norm_60_DIV_E19_vol_norm_20,0.0011544189
P8_trend_ADD_P7,0.001153204
M4_DIV_V13,0.0011524814
V13_lag1_DIV_E19_lag5,0.0011522239
E12_rolling_mean_5_SUB_P7,0.001150491
M4_vol_norm_20_DIV_I2_trend,0.0011492745
M4_vol_norm_20_DIV_D8_trend,0.0011486104
P7_X_M4_vol_norm_5,0.0011455534
E19_rolling_std_5_SUB_E19_vol_regime_60,0.0011441129
E19_rolling_std_5_ADD_P7,0.0011405813
S2_ema_60_DIV_V10_lag40,0.0011389294
V13_vol_norm_20_DIV_E19_rolling_std_5,0.0011388168
M4_vol_norm_20_DIV_V13,0.001138567
M4_vol_norm_20_ADD_M2_rolling_mean_10,0.0011377281
V13_lag1_X_E12_rolling_mean_5,0.0011362259
D8_trend_X_V13_lag1,0.0011354848
E19_rolling_std_5_SUB_S2_ema_60,0.0011352059
V7_vol_norm_60_ADD_S2_ema_60,0.0011344684
M4_DIV_M2_rolling_mean_10,0.001133876
M4_vol_norm_20_X_E19_lag5,0.0011311702
D8_trend_X_M2_rolling_mean_10,0.0011297914
V13_vol_norm_20_ADD_E12_rolling_mean_5,0.0011293631
M4_vol_norm_20_DIV_M4_vol_norm_5,0.0011286789
I2_trend_DIV_E19_lag5,0.0011285121
M4_vol_norm_20_X_P8_trend,0.0011283059
E19_rolling_std_5_DIV_E19_lag5,0.001126708
I2_trend_X_V13_lag1,0.0011225283
V13_vol_norm_20_SUB_V13,0.0011222295
M4_X_E12_rolling_mean_5,0.001122178
V13_vol_norm_20_SUB_E19_rolling_std_5,0.001122096
P7_SUB_P10,0.0011214714
S2_ema_60_SUB_P7,0.0011210729
E19_vol_regime_60_SUB_E19_lag5,0.0011206977
P8_trend_ADD_E19_lag5,0.0011189056
S2_ema_60_X_P10,0.0011179098
E19_lag5_X_V13,0.0011172235
E19_vol_regime_60_DIV_V13_lag1,0.0011129417
V13_vol_norm_20_DIV_E12_rolling_mean_5,0.001109519
I2_trend_SUB_V13_lag1,0.0011051378
I2_trend_ADD_P10,0.001104562
P7_ADD_P10,0.0011044142
M4_vol_norm_5_X_V13,0.0011037696
I2_trend_DIV_E12_rolling_mean_5,0.00110243
D8_trend_DIV_E19_vol_regime_60,0.0011016575
D8_trend_DIV_M2_rolling_mean_10,0.0011009919
V13_vol_norm_20_X_M2_rolling_mean_10,0.001098691
