feature,importance,abs_correlation,combined_score
V7*P8*S2,0.002305760663668473,0.006153347028900792,0.0034600365732381684
V7*P8,0.0035829525443993103,0.0031496139087141637,0.003452950953693766
I2*P7,0.0038275850128602807,0.002525402918679818,0.0034369303846061416
M_kurt,0.002739238089110873,0.004998672622734429,0.00341706844919794
ratio_P8_to_S2,0.003162075113881407,0.003941615299302618,0.00339593716950777
(M4*P8)/E19,0.0021753932558869057,0.006239313391010929,0.0033945692964241127
M4*P8*S5,0.0030671152454063194,0.004077433876585093,0.0033702108347599515
P8/P5,0.00383651095009372,0.0022720555927867366,0.0033671743429016243
P8/I2,0.0032402454558629937,0.0036561376692524554,0.0033650131198798322
M4/I2,0.002335388395497161,0.005679393230670516,0.0033385898460491672
ratio_S2_to_V7,0.001607203506475599,0.0071952290851211255,0.003283611180069257
M4/V7,0.0018188483170949188,0.006570682136934193,0.0032443984630467007
(M4*V13)/E19,0.0015225214833865211,0.00700909303457738,0.0031684929487437786
(V13*P8)/I2,0.002348850899976085,0.005058603888991961,0.003161776796680848
P8*I2*S5,0.0019545166328108956,0.005872027909339164,0.003129770015769376
V13*P8*S5,0.003552671564737435,0.0021260678908082776,0.003124690462558688
(M4*V13)/I2,0.0019355126902686857,0.005849996933497004,0.003109857963237181
(M4*P8)/S5,0.002206720261667276,0.005017517120509457,0.0030499593193199304
P8*E19,0.0035014943309224266,0.001962850398363382,0.003039901151154713
ratio_M4_to_V7,0.0015117052926183613,0.006570682136934193,0.0030293983459131106
V13/P5,0.0018204179642101366,0.005787812000636167,0.0030106361751379455
ratio_P8_to_V7,0.0031154873629494124,0.002709127358752804,0.00299357936169043
E19/P5,0.0030714701544535864,0.002432835514139487,0.0028798797623593568
E19/S5,0.0019713531335082742,0.0049889570881346155,0.0028766343198961767
S_kurt,0.0011781804255695959,0.006779283108473975,0.0028585112304409096
V13/I2,0.0019062121867735975,0.005053415519594447,0.002850373186619852
S_mean,0.0032354258138235187,0.0018735552935489053,0.0028268646577411347
P8/E19,0.00213968380199879,0.004388745162118996,0.0028144022100348516
V7/P7,0.00374374486521007,0.0006117912781167548,0.0028041587890820755
(V7*P8)/S5,0.0020159341546668688,0.00459851294456394,0.00279070779163599
P8/S5,0.0023033486017029437,0.0038771697303581687,0.002775494940299511
ratio_V7_to_V13,0.002443361628360315,0.0034282000774319005,0.0027388131630817904
I2/S5,0.002744870731710165,0.0026494684027398643,0.002716250033019075
ratio_P8_to_M4,0.0037812494427573837,0.00017966976887123106,0.0027007755405915376
S2/E19,0.0024409619390656392,0.0029305910294710647,0.002587850666187267
V7/P5,0.0020959604541339392,0.003437781510027189,0.002498506770901914
ratio_S2_to_V13,0.002061731137705635,0.00342986091385761,0.0024721700705512273
market_to_price,0.0027524740094552968,0.00146705783023303,0.002366849155688617
(P8*S2)/S5,0.0023645582844067374,0.001979674343193563,0.002249093102042785
ratio_V13_to_V7,0.0029416914021040356,0.0006049819837047952,0.0022406785765842633
I2/E19,0.0019801159912322375,0.0027133312741443832,0.002200080576105881
V_kurt,0.002753657497099886,0.0007964408436245805,0.002166492501057294
S2/P5,0.0008890885555024836,0.005081331243471084,0.0021467613618930638
(M4*S2)/E19,0.0015746614974620659,0.0033579277528818685,0.002109641374088007
ratio_M4_to_V13,0.0022946603416573574,0.0016045260127646893,0.002087620042989557
(V13*S2)/E19,0.0018784801724726753,0.0024499261223281813,0.0020499139574293272
(V13*P8)/S5,0.0017429518549069397,0.002646618194474837,0.0020140517567773086
V7/E19,0.0021025914676343644,0.0015634514046622568,0.0019408494487427321
ratio_S2_to_M4,0.002389702915155487,0.0008867620430574493,0.0019388206535260757
(V13*V7)/I2,0.0024239492297681896,0.0007519065712668953,0.0019223364322178012
P8*E19*S5,0.0023950887731850902,0.0006833079599061185,0.0018815545292013988
(P8*S2)/E19,0.0016415145405474225,0.0023252062626644273,0.001846622057182524
M4/V13,0.0019359223841475274,0.0016045260127646893,0.001836503472732676
(V7*P8)/E19,0.002220921500887738,0.00026805679467570347,0.0016350620890241275
V13*P8*S2,0.0015911671452611032,0.0016705568882791901,0.0016149840681665291
V13/V7,0.0019448157970933845,0.0006049819837047952,0.0015428656530768077
(M4*V13)/V7,0.0016950378162607837,0.0009223037880169252,0.001463217607787626
(V7*S2)/E19,0.001447614154307311,0.0014511393386835564,0.0014486717096201846
ratio_V7_to_M4,0.0017252060071110181,0.0002696491778259943,0.0012885389583255108
ratio_V13_to_M4,0.001634633289296217,0.0002631315097575079,0.0012231827554346042
